mouse,shank,before-saline,after-saline,before-drug,after-drug
D12_6,0,"2,3,5,6","11,14,15,19","26,27,28,29","36,37,38,39"
D12_6,1,"2,3,5,6","14,15,17,19","26,27,28,29","36,37,38,39"
D12_6,2,"2,3,5,6","15,17,18,19","26,27,28,29","36,37,38,39"
D12_6,3,"6,7,8,9","15,17,18,19","26,27,28,29","36,37,38,39"
D12_6,4,"6,7,8,9","15,17,18,19","26,27,28,29","36,37,38,39"
D12_6,5,"2,3,4,6","15,17,18,19","26,27,28,29","36,37,38,39"
D12_6,6,"1,2,6,7","15,17,18,19","22,24,28,29","36,37,38,39"
D12_6,7,"6,7,8,9","15,17,18,19","24,25,26,27","36,37,38,39"
D12_6,8,"1,2,3,5","15,17,18,19","26,27,28,29","36,37,38,39"
D12_6,9,"3,5,6,9","15,17,18,19","25,26,28,29","36,37,38,39"
D13_4,0,"0,1,2,3","11,12,13,14","20,21,22,29","35,36,37,38"
D13_4,1,"3,6,8,9","11,13,18,19","20,21,22,23","34,36,37,38"
D13_4,2,"4,5,6,8","13,14,18,19","24,26,27,28","35,36,37,38"
D13_4,3,"3,4,5,6","13,14,18,19","24,26,27,28","36,37,38,39"
D13_4,4,"6,7,8,9","15,16,18,19","25,26,27,28","35,36,37,38"
D13_4,5,"0,1,2,3","11,12,13,14","25,26,27,28","35,36,37,38"
D13_4,6,"6,7,8,9","14,15,18,19","25,26,27,28","36,37,38,39"
D13_4,7,"6,7,8,9","14,15,18,19","25,26,27,28","34,35,36,37"
D13_4,8,"6,7,8,9","14,15,18,19","25,26,27,28","35,36,37,38"
D13_4,9,"3,4,5,6","14,15,18,19","24,26,27,28","30,34,36,38"
D13_8,0,"5,6,8,9","13,14,15,19","26,27,28,29","35,36,37,38"
D13_8,1,"1,2,5,9","11,13,14,19","25,26,27,28","36,37,38,39"
D13_8,2,"6,7,8,9","11,13,16,19","26,27,28,29","35,37,38,39"
D13_8,3,"1,2,8,9","11,13,16,19","26,27,28,29","34,35,37,38"
D13_8,4,"0,1,2,8","11,13,16,19","26,27,28,29","35,37,38,39"
D13_8,5,"1,2,5,8","11,12,16,19","26,27,28,29","34,35,37,39"
D13_8,6,"4,5,8,9","11,13,14,19","21,25,28,29","36,37,38,39"
D13_8,7,"0,1,2,3","13,14,15,19","21,25,28,29","32,33,34,35"
D13_8,8,"5,6,8,9","11,13,16,19","21,26,27,29","36,37,38,39"
D13_8,9,"5,6,8,9","11,12,13,19","21,25,27,29","34,37,38,39"
D14_6,0,"1,3,4,7","12,13,14,17","26,27,28,29","33,35,36,39"
D14_6,1,"6,7,8,9","16,17,18,19","26,27,28,29","31,32,33,34"
D14_6,2,"6,7,8,9","16,17,18,19","26,27,28,29","36,37,38,39"
D14_6,3,"6,7,8,9","11,12,13,14","26,27,28,29","36,37,38,39"
D14_6,4,"6,7,8,9","16,17,18,19","26,27,28,29","36,37,38,39"
D14_6,5,"5,6,8,9","16,17,18,19","26,27,28,29","36,37,38,39"
D14_6,6,"6,7,8,9","16,17,18,19","20,21,22,23","36,37,38,39"
D14_6,7,"6,7,8,9","16,17,18,19","21,22,23,24","36,37,38,39"
D14_6,8,"5,6,7,8","16,17,18,19","23,24,25,26","36,37,38,39"
D14_6,9,"0,1,2,3","16,17,18,19","20,21,22,23","35,36,37,38"